,PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),year,month,province,max,maximum
205,0.029464218329948385,0.032908644973870055,0.037464317074362326,0.05152946816568668,0.04156918230891722,0.07994788668195403,2013,7,贵州省,0.7500044287432164,1.0701747721499573
238,0.04671704437167816,0.04903180666923639,0.04903590058877674,0.06047044143484958,0.050317241096312984,0.08707919354452218,2013,8,贵州省,0.7500044287432164,1.0701747721499573
271,0.07704943421478685,0.07757287151246102,0.07219162403340068,0.07293420746823723,0.06897745645158698,0.09701127411588788,2013,9,贵州省,0.7500044287432164,1.0701747721499573
304,0.08866202153810689,0.08610188047233741,0.08934423782605244,0.0907096197324825,0.08324852078827291,0.0917883610549905,2013,10,贵州省,0.7500044287432164,1.0701747721499573
337,0.08717421559518158,0.08829590342515996,0.10776302295102033,0.10098619558008205,0.1019406976559322,0.0657862521603801,2013,11,贵州省,0.7500044287432164,1.0701747721499573
370,0.12829130978074305,0.12673728778528212,0.1525831617034958,0.14182220822475256,0.11847237865093056,0.06265164439568391,2013,12,贵州省,0.7500044287432164,1.0701747721499573
403,0.138161845630307,0.12826231656935336,0.15880111124309296,0.12977024179836663,0.12936768926057876,0.06968570976506723,2014,1,贵州省,0.7540489142667659,1.0701747721499573
436,0.09816197201086223,0.08907427763409546,0.09699426293242717,0.08249327856942465,0.0999258105739996,0.07288409819283526,2014,2,贵州省,0.7540489142667659,1.0701747721499573
469,0.08698477661975886,0.08789630266935176,0.09252165155747152,0.08201698356448502,0.0900274825091982,0.08686909616195582,2014,3,贵州省,0.7540489142667659,1.0701747721499573
502,0.07887035514113215,0.07956717743245399,0.07353009870945092,0.0685227025978734,0.07057443195134512,0.09395130549673265,2014,4,贵州省,0.7540489142667659,1.0701747721499573
535,0.07968036733150011,0.07972200830287218,0.06587953691257348,0.07042147794106532,0.06719633762341401,0.09626612528767425,2014,5,贵州省,0.7540489142667659,1.0701747721499573
568,0.07977972432809906,0.07702825149663692,0.05884001003902063,0.061279005936133654,0.06973813765907215,0.100123919096989,2014,6,贵州省,0.7540489142667659,1.0701747721499573
