,PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),year,month,province,time,id
223,67.38778421222074,109.2849240379456,30.166863305646768,31.684287981027193,1089.3394694482006,55.97331030841542,2013,7,河北省,2013下半年,1
227,44.583007467606215,64.25611477012735,22.98955302665182,21.08594939422645,757.5168630514145,54.30289409073031,2013,7,辽宁省,2013下半年,1
208,32.67897006188199,40.175579731928465,10.518701351919717,7.437932056315464,373.1276188417531,72.86304125466461,2013,7,四川省,2013下半年,1
209,6.52141432962922,6.970922763330512,0.5676571662790891,0.5685425509741119,129.20700491384443,88.45666721499519,2013,7,西藏自治区,2013下半年,1
210,49.27417983373158,61.199275980684995,23.476758716646753,12.769108228793307,547.6909796893668,60.93065319593787,2013,7,重庆市,2013下半年,1
205,47.2316402923661,56.777104763749925,22.384177571580796,10.678008787589434,468.9025799993542,59.129192063030786,2013,7,贵州省,2013下半年,1
214,65.84589086836102,100.40328605816224,28.55982577386771,33.103307127728904,942.167277614858,56.67622606304986,2013,7,江苏省,2013下半年,1
199,43.71769900186016,56.631307406651246,15.4090605848192,19.611635887663894,704.8713375073726,62.3168888662039,2013,7,广东省,2013下半年,1
207,44.27373384780435,53.77513662741081,17.999001145978102,14.352185143734914,491.4239728866456,61.27846470631263,2013,7,江西省,2013下半年,1
212,61.17391690583573,74.7053825779118,28.73117559197097,19.822460249441207,651.7952051563526,62.75466448879544,2013,7,湖北省,2013下半年,1
224,22.32914496855022,23.0734547306279,1.8649069168408687,1.4582122048928,157.50531201554028,66.85264395770817,2013,7,新疆维吾尔自治区,2013下半年,1
204,27.329320818734647,36.05318543017464,11.318275730605562,13.147207277865036,383.76922663874467,63.690805844173276,2013,7,福建省,2013下半年,1
229,36.32127109901279,46.02299509277435,12.047977317712514,12.7304397162245,466.38605566048983,57.32047618400964,2013,7,吉林省,2013下半年,1
217,54.26119548984469,77.13148185483871,23.232614097968938,39.215243951612905,806.658303464755,58.95607616487456,2013,7,上海市,2013下半年,1
200,28.61728770041165,33.62812313316987,10.889045528372861,5.447193733195623,419.490605390495,63.0765552313486,2013,7,云南省,2013下半年,1
221,82.12690877282812,129.10014241978152,52.43970573583377,42.01146158420806,1212.107284199522,58.44660244388975,2013,7,山东省,2013下半年,1
222,34.00486089294063,47.532125899953236,24.335280263362943,14.473801285647498,479.7631291880941,58.2673896680692,2013,7,宁夏回族自治区,2013下半年,1
226,82.37536545354287,127.40643731044942,37.62442848773091,46.950507892197415,1617.1296526054587,46.805635993934395,2013,7,天津市,2013下半年,1
